出发机场,到达机场,航班号,计划出发,计划到达,实际出发,实际到达,飞机号,是否取消,计划出发日期,计划到达日期,实际出发日期,实际到达日期,出发延迟,到达延迟,出发经度,出发纬度,到达经度,到达纬度,距离,平均温度,最高温度,最低温度,降水量,气压,风向,风速
PEK,HET,CA1101,1479813900,1479819000,1479815040.0,1479818580.0,2205.0,正常,2016-11-22,2016-11-22,2016-11-22,2016-11-22,19.0,-7.0,116,40,111,40,555,-3.4,-0.2,-6.6,0.0,1039.0,350.0,12.0
HGH,WUH,MU5583,1478415900,1478421900,1478421240.0,1478426100.0,167.0,正常,2016-11-06,2016-11-06,2016-11-06,2016-11-06,89.0,70.0,120,30,114,30,667,18.8,24.4,13.2,0.0,1019.5,33.0,6.0
SHA,CKG,MU5431,1480245300,1480256700,1480247400.0,1480256460.0,1448.0,正常,2016-11-27,2016-11-27,2016-11-27,2016-11-27,35.0,-4.0,121,31,106,29,1670,8.9,12.8,5.1,0.0,1027.4,316.0,9.0
HET,CGO,GS6609,1479115200,1479120600,1479118020.0,1479122760.0,206.0,正常,2016-11-14,2016-11-14,2016-11-14,2016-11-14,47.0,36.0,111,40,113,34,334,0.1,5.2,-5.1,0.0,1028.0,291.0,11.0
TAO,SHA,MU5510,1478598300,1478604300,1478600400.0,1478604900.0,650.0,正常,2016-11-08,2016-11-08,2016-11-08,2016-11-08,35.0,10.0,120,36,121,31,303,6.1,8.8,3.4,0.0,1034.5,19.0,15.0
XMN,SHA,MF8501,1478127600,1478134200,1478128800.0,1478133000.0,1962.0,正常,2016-11-02,2016-11-03,2016-11-02,2016-11-03,20.0,-20.0,118,24,121,31,507,21.4,23.8,19.0,0.0,1021.8,22.0,17.0
HGH,XMN,CZ6517,1479966300,1479972300,1479973920.0,1479978240.0,1255.0,正常,2016-11-24,2016-11-24,2016-11-24,2016-11-24,127.0,99.0,120,30,118,24,392,5.2,7.9,2.4,,1029.9,356.0,7.0
CKG,PEK,OQ2301,1479772800,1479782100,1479773220.0,1479780240.0,515.0,正常,2016-11-22,2016-11-22,2016-11-22,2016-11-22,7.0,-31.0,106,29,116,40,1190,14.9,18.8,11.0,3.5,1018.8,316.0,8.0
HFE,SZX,ZH9890,1478474100,1478482500,1478474280.0,1478481540.0,2366.0,正常,2016-11-06,2016-11-07,2016-11-06,2016-11-07,3.0,-16.0,117,31,113,22,612,16.9,22.9,10.9,0.0,1019.7,60.0,7.0
WUH,PVG,MU2691,1478670600,1478676600,1478671980.0,1478676240.0,2874.0,正常,2016-11-09,2016-11-09,2016-11-09,2016-11-09,23.0,-6.0,114,30,121,31,780,8.5,9.4,7.6,0.0,1029.8,332.0,5.0
HRB,TAO,QW9784,1479134400,1479142500,1479135000.0,1479141900.0,2368.0,正常,2016-11-14,2016-11-14,2016-11-14,2016-11-14,10.0,-10.0,126,45,120,36,859,-3.6,3.9,-11.2,,1019.8,286.0,10.0
NKG,URC,CZ6972,1478425200,1478443500,1478425800.0,1478442720.0,30.0,正常,2016-11-06,2016-11-06,2016-11-06,2016-11-06,10.0,-13.0,118,31,88,43,3331,17.2,22.6,11.9,0.0,1020.4,95.0,12.0
TAO,SHA,SC4665,1479713400,1479719400,1479714480.0,1479718980.0,1594.0,正常,2016-11-21,2016-11-21,2016-11-21,2016-11-21,18.0,-7.0,120,36,121,31,303,7.7,12.0,3.4,0.5,1024.6,17.0,21.0
TYN,PVG,MU2402,1478475000,1478482500,1478475960.0,1478482260.0,1418.0,正常,2016-11-06,2016-11-07,2016-11-06,2016-11-07,16.0,-4.0,112,37,121,31,1042,8.1,11.5,4.6,3.9,1024.8,126.0,8.0
SZX,HGH,CZ3797,1478490300,1478497800,1478491080.0,1478496960.0,1232.0,正常,2016-11-07,2016-11-07,2016-11-07,2016-11-07,13.0,-14.0,113,22,120,30,872,25.2,29.4,21.0,0.0,1016.5,47.0,5.0
TNA,SHE,SC1161,1478139000,1478144700,1478140320.0,1478145660.0,921.0,正常,2016-11-03,2016-11-03,2016-11-03,2016-11-03,22.0,16.0,116,36,123,41,824,12.6,18.0,7.1,0.0,1017.5,154.0,11.0
SHA,XMN,MF8536,1480157700,1480165200,1480159260.0,1480164720.0,1517.0,正常,2016-11-26,2016-11-26,2016-11-26,2016-11-26,26.0,-8.0,121,31,118,24,507,9.1,12.0,6.1,8.5,1023.6,277.0,14.0
SHE,TYN,3U8850,1477974900,1477982100,1477975740.0,1477981800.0,1934.0,正常,2016-11-01,2016-11-01,2016-11-01,2016-11-01,14.0,-5.0,123,41,112,37,1239,-3.1,4.0,-10.3,0.0,1030.8,143.0,5.0
HRB,HGH,3U8582,1480216800,1480228800,1480217520.0,1480228080.0,886.0,正常,2016-11-27,2016-11-27,2016-11-27,2016-11-27,12.0,-12.0,126,45,120,30,1122,-14.3,-11.8,-16.8,,1025.4,249.0,9.0
SYX,SHA,FM9538,1477969800,1477980000,1477971120.0,1477981380.0,844.0,正常,2016-11-01,2016-11-01,2016-11-01,2016-11-01,22.0,23.0,109,18,121,31,1460,23.9,25.7,22.1,0.5,1015.6,29.0,45.0
HGH,CTU,3U8992,1478832600,1478844600,1478833140.0,1478842980.0,638.0,正常,2016-11-11,2016-11-11,2016-11-11,2016-11-11,9.0,-27.0,120,30,104,30,1779,13.2,19.5,7.0,0.0,1020.8,205.0,8.0
CKG,PEK,CA1410,1480161900,1480171500,1480162020.0,1480169880.0,1975.0,正常,2016-11-26,2016-11-26,2016-11-26,2016-11-26,2.0,-27.0,106,29,116,40,1190,11.6,14.7,8.4,0.0,1027.6,313.0,5.0
NKG,URC,SC8811,1479294300,1479313200,1479295140.0,1479312060.0,1210.0,正常,2016-11-16,2016-11-16,2016-11-16,2016-11-16,14.0,-19.0,118,31,88,43,3331,13.4,16.8,10.1,10.9,1020.4,108.0,11.0
PVG,HRB,HO1265,1480325700,1480336800,1480331460.0,1480340220.0,1305.0,正常,2016-11-28,2016-11-28,2016-11-28,2016-11-28,96.0,57.0,121,31,126,45,1020,9.7,12.5,6.9,0.0,1032.2,12.0,8.0
WUH,SHA,FM9364,1479649200,1479654600,1479651360.0,1479654960.0,1860.0,正常,2016-11-20,2016-11-20,2016-11-20,2016-11-20,36.0,6.0,114,30,121,31,780,14.8,17.7,11.9,0.0,1016.8,351.0,4.0
TGO,HET,GS6674,1480055400,1480061700,1480055280.0,1480061520.0,1435.0,正常,2016-11-25,2016-11-25,2016-11-25,2016-11-25,-2.0,-3.0,122,43,111,40,1231,-4.0,2.6,-10.7,0.0,1020.9,191.0,8.0
TAO,CTU,SC4713,1479895200,1479906900,1479897060.0,1479907440.0,1574.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,31.0,9.0,120,36,104,30,1794,-0.2,1.4,-1.8,0.0,1033.8,345.0,23.0
WUH,XMN,CZ6939,1480052100,1480057800,1480051620.0,1480056660.0,451.0,正常,2016-11-25,2016-11-25,2016-11-25,2016-11-25,-8.0,-19.0,114,30,118,24,531,5.2,6.7,3.6,0.0,1027.3,343.0,5.0
CTU,SZX,CA4389,1478165400,1478173800,1478176020.0,1478182980.0,2246.0,正常,2016-11-03,2016-11-03,2016-11-03,2016-11-03,177.0,153.0,104,30,113,22,1037,18.2,21.2,15.3,,1021.9,298.0,4.0
FOC,SHA,MF8573,1479513600,1479518700,1479513900.0,1479517200.0,378.0,正常,2016-11-19,2016-11-19,2016-11-19,2016-11-19,5.0,-25.0,119,26,121,31,355,24.8,28.9,20.6,17.9,1015.4,244.0,6.0
XMN,CGO,MF870,1478242500,1478251200,1478251200.0,1478259180.0,2254.0,正常,2016-11-04,2016-11-04,2016-11-04,2016-11-04,145.0,133.0,118,24,113,34,731,21.5,24.6,18.4,0.0,1015.0,29.0,10.0
TNA,KMG,8L968R,1478400000,1478410200,1478405820.0,1478416800.0,497.0,正常,2016-11-06,2016-11-06,2016-11-06,2016-11-06,97.0,110.0,116,36,102,24,1608,10.7,12.0,9.3,3.4,1024.8,20.0,7.0
CTU,CGO,DZ6292,1479697800,1479705300,1479709080.0,1479714600.0,91.0,正常,2016-11-21,2016-11-21,2016-11-21,2016-11-21,188.0,155.0,104,30,113,34,1010,19.2,22.5,15.9,0.0,1011.1,257.0,4.0
HET,SHA,MU5690,1479042900,1479051900,1479043680.0,1479050880.0,2785.0,正常,2016-11-13,2016-11-13,2016-11-13,2016-11-13,13.0,-17.0,111,40,121,31,1192,4.8,11.5,-2.0,0.0,1020.4,342.0,13.0
WUH,TAO,MU2517,1478305500,1478313000,1478306940.0,1478313540.0,500.0,正常,2016-11-05,2016-11-05,2016-11-05,2016-11-05,24.0,9.0,114,30,120,36,731,16.6,24.2,8.9,0.0,1013.1,100.0,3.0
SYX,CGO,CZ6319,1479095100,1479106200,1479095340.0,1479104340.0,1047.0,正常,2016-11-14,2016-11-14,2016-11-14,2016-11-14,4.0,-31.0,109,18,113,34,773,24.1,26.0,22.2,0.0,1014.8,51.0,24.0
HET,TGO,G52741,1478165400,1478171400,1478167920.0,1478172960.0,724.0,正常,2016-11-03,2016-11-03,2016-11-03,2016-11-03,42.0,26.0,111,40,122,43,1231,2.3,9.3,-4.7,0.0,1020.8,328.0,12.0
TNA,CKG,PN6266,1478009100,1478018100,1478009940.0,1478018340.0,2652.0,正常,2016-11-01,2016-11-01,2016-11-01,2016-11-01,14.0,4.0,116,36,106,29,1144,4.3,9.3,-0.7,0.0,1033.6,211.0,3.0
TAO,PEK,CA1526,1480031700,1480037400,1480032060.0,1480036380.0,1325.0,正常,2016-11-24,2016-11-25,2016-11-25,2016-11-25,6.0,-17.0,120,36,116,40,491,1.6,4.5,-1.3,0.0,1030.1,343.0,9.0
CTU,PEK,CA1408,1479558900,1479568200,1479560040.0,1479568320.0,1281.0,正常,2016-11-19,2016-11-19,2016-11-19,2016-11-19,19.0,2.0,104,30,116,40,1382,18.1,20.6,15.6,0.4,1013.8,336.0,4.0
CTU,XMN,MF8432,1479821100,1479830100,1479822480.0,1479830400.0,2611.0,正常,2016-11-22,2016-11-22,2016-11-22,2016-11-22,23.0,5.0,104,30,118,24,1573,14.9,18.8,11.0,3.5,1018.8,316.0,8.0
XMN,CTU,CA4540,1479562200,1479573600,1479565440.0,1479574800.0,29.0,正常,2016-11-19,2016-11-19,2016-11-19,2016-11-19,54.0,20.0,118,24,104,30,1573,25.4,29.3,21.6,,1014.8,99.0,7.0
WUH,SHA,MU2521,1479275700,1479281700,1479276180.0,1479280080.0,1445.0,正常,2016-11-16,2016-11-16,2016-11-16,2016-11-16,8.0,-27.0,114,30,121,31,780,15.4,16.5,14.3,1.3,1018.5,30.0,5.0
CTU,HGH,MU2251,1478733300,1478742600,1478734140.0,1478741880.0,576.0,正常,2016-11-09,2016-11-10,2016-11-09,2016-11-10,14.0,-12.0,104,30,120,30,1779,11.2,12.7,9.8,0.3,1028.7,305.0,5.0
PEK,CTU,3U8894,1480247400,1480258500,1480247940.0,1480256940.0,2332.0,正常,2016-11-27,2016-11-27,2016-11-27,2016-11-27,9.0,-26.0,116,40,104,30,1382,3.0,7.5,-1.5,0.0,1030.9,24.0,10.0
TYN,TAO,HU7429,1478128200,1478134500,1478128080.0,1478133300.0,769.0,正常,2016-11-02,2016-11-03,2016-11-02,2016-11-03,-2.0,-20.0,112,37,120,36,890,6.3,15.4,-2.7,0.0,1028.2,205.0,3.0
HRB,WUH,3U8725,1478216400,1478228400,1478217720.0,1478228700.0,341.0,正常,2016-11-03,2016-11-04,2016-11-04,2016-11-04,22.0,5.0,126,45,114,30,1564,-7.4,-3.6,-11.2,0.0,1019.7,360.0,8.0
TNA,XMN,SC1152,1479911400,1479919800,1479910920.0,1479917940.0,1210.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,-8.0,-31.0,116,36,118,24,644,-3.0,1.3,-7.2,0.0,1036.3,96.0,6.0
CKG,TYN,SC4819,1479082500,1479090000,1479083160.0,1479088860.0,853.0,正常,2016-11-14,2016-11-14,2016-11-14,2016-11-14,11.0,-19.0,106,29,112,37,725,17.1,20.1,14.2,0.0,1020.1,293.0,3.0
TNA,PVG,MU5542,1479037500,1479043200,1479037680.0,1479042300.0,1017.0,正常,2016-11-13,2016-11-13,2016-11-13,2016-11-13,3.0,-15.0,116,36,121,31,615,14.9,20.3,9.6,0.0,1017.0,225.0,6.0
SHA,PEK,MU5105,1478224800,1478233200,1478226480.0,1478232900.0,326.0,正常,2016-11-04,2016-11-04,2016-11-04,2016-11-04,28.0,-5.0,121,31,116,40,731,14.8,21.6,7.9,0.0,1015.7,169.0,5.0
TNA,HRB,MF8055,1479454500,1479463500,1479454680.0,1479461520.0,2825.0,正常,2016-11-18,2016-11-18,2016-11-18,2016-11-18,3.0,-33.0,116,36,126,45,1222,12.1,14.8,9.3,0.7,1013.6,260.0,3.0
KWL,TYN,JD5519,1479260100,1479269400,1479260460.0,1479268320.0,1116.0,正常,2016-11-16,2016-11-16,2016-11-16,2016-11-16,6.0,-18.0,110,25,112,37,526,21.4,24.6,18.3,0.2,1016.6,356.0,2.0
TNA,SHE,HU7821,1480140900,1480146600,1480141260.0,1480145760.0,2212.0,正常,2016-11-26,2016-11-26,2016-11-26,2016-11-26,6.0,-14.0,116,36,123,41,824,6.3,10.2,2.4,0.0,1022.7,184.0,7.0
HFE,PEK,CA931,1479428700,1479435300,1479429540.0,1479435060.0,1610.0,正常,2016-11-18,2016-11-18,2016-11-18,2016-11-18,14.0,-4.0,117,31,116,40,459,16.4,18.4,14.4,,1013.9,38.0,4.0
HGH,TYN,MU5485,1478736300,1478744100,1478736840.0,1478744040.0,167.0,正常,2016-11-10,2016-11-10,2016-11-10,2016-11-10,9.0,-1.0,120,30,112,37,951,11.2,13.8,8.7,0.0,1023.6,245.0,6.0
CKG,PVG,CA4555,1479905400,1479914700,1479905880.0,1479912900.0,2183.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,8.0,-30.0,106,29,121,31,1670,8.9,9.5,8.3,1.5,1029.1,327.0,6.0
TYN,KMG,MU5145,1478599800,1478610900,1478600100.0,1478610300.0,311.0,正常,2016-11-08,2016-11-08,2016-11-08,2016-11-08,5.0,-10.0,112,37,102,24,1182,3.5,10.3,-3.3,0.0,1034.9,53.0,5.0
TAO,SHA,MU5518,1478058000,1478064000,1478059260.0,1478064000.0,2814.0,正常,2016-11-02,2016-11-02,2016-11-02,2016-11-02,21.0,0.0,120,36,121,31,303,9.2,12.7,5.8,0.0,1027.2,293.0,9.0
PVG,CKG,HO1245,1478388000,1478399100,1478397300.0,1478406360.0,2302.0,正常,2016-11-05,2016-11-06,2016-11-06,2016-11-06,155.0,121.0,121,31,106,29,1670,17.1,24.1,10.1,0.0,1015.4,211.0,4.0
HRB,SZX,CZ6482,1479019800,1479037200,1479019620.0,1479034980.0,283.0,正常,2016-11-13,2016-11-13,2016-11-13,2016-11-13,-3.0,-37.0,126,45,113,22,1894,-5.0,4.3,-14.2,2.3,1013.2,108.0,13.0
HFE,PEK,CA1844,1478074500,1478082000,1478075400.0,1478081880.0,352.0,正常,2016-11-02,2016-11-02,2016-11-02,2016-11-02,15.0,-2.0,117,31,116,40,459,12.0,17.8,6.2,0.0,1029.1,233.0,4.0
HGH,HRB,MF8021,1479624600,1479636000,1479624900.0,1479634380.0,2188.0,正常,2016-11-20,2016-11-20,2016-11-20,2016-11-20,5.0,-27.0,120,30,126,45,1122,18.4,19.0,17.7,3.3,1017.0,57.0,8.0
SHE,TAO,CZ6311,1478304300,1478309700,1478304720.0,1478308980.0,1282.0,正常,2016-11-05,2016-11-05,2016-11-05,2016-11-05,7.0,-12.0,123,41,120,36,442,6.5,11.6,1.3,0.0,1024.0,4.0,14.0
WUH,CTU,MU2657,1479214500,1479222000,1479214680.0,1479220860.0,1935.0,正常,2016-11-15,2016-11-15,2016-11-15,2016-11-15,3.0,-19.0,114,30,104,30,1111,15.9,17.0,14.8,3.6,1020.3,14.0,2.0
URC,KMG,SC8885,1478776800,1478794800,1478777160.0,1478790720.0,1201.0,正常,2016-11-10,2016-11-10,2016-11-10,2016-11-10,6.0,-68.0,88,43,102,24,1546,-0.1,3.4,-3.5,0.0,1025.2,20.0,4.0
SJW,XMN,9C8975,1479510000,1479519600,1479510120.0,1479518340.0,678.0,正常,2016-11-18,2016-11-19,2016-11-18,2016-11-19,2.0,-21.0,114,38,118,24,811,6.4,7.0,5.8,0.0,1014.0,17.0,4.0
FOC,PEK,MF8107,1479441600,1479451800,1479443520.0,1479452820.0,1649.0,正常,2016-11-18,2016-11-18,2016-11-18,2016-11-18,32.0,17.0,119,26,116,40,790,23.9,28.7,19.2,0.3,1015.2,235.0,5.0
PVG,SHE,9C8849,1480058700,1480067400,1480059180.0,1480066320.0,2769.0,正常,2016-11-25,2016-11-25,2016-11-25,2016-11-25,8.0,-18.0,121,31,123,41,629,9.4,12.6,6.2,10.1,1025.4,71.0,7.0
URC,WUH,CZ3912,1480064100,1480077600,1480065120.0,1480078560.0,1232.0,正常,2016-11-25,2016-11-25,2016-11-25,2016-11-25,17.0,16.0,88,43,114,30,2885,-6.0,-0.5,-11.5,0.0,1038.4,130.0,4.0
SHE,TAO,MF8030,1480158300,1480164000,1480158420.0,1480163040.0,2058.0,正常,2016-11-26,2016-11-26,2016-11-26,2016-11-26,2.0,-16.0,123,41,120,36,442,1.6,5.3,-2.1,0.0,1017.7,196.0,8.0
HET,CTU,3U8550,1478348700,1478357100,1478348880.0,1478356200.0,1408.0,正常,2016-11-05,2016-11-05,2016-11-05,2016-11-05,3.0,-15.0,111,40,104,30,844,8.4,15.6,1.2,0.0,1016.6,341.0,11.0
SJW,SZX,NS3267,1479167400,1479178500,1479169020.0,1479178620.0,714.0,正常,2016-11-14,2016-11-15,2016-11-15,2016-11-15,27.0,2.0,114,38,113,22,716,7.7,13.5,1.9,0.0,1024.6,295.0,5.0
KWL,CTU,CA4324,1479696300,1479702600,1479697440.0,1479701940.0,29.0,正常,2016-11-21,2016-11-21,2016-11-21,2016-11-21,19.0,-11.0,110,25,104,30,686,21.2,23.5,19.0,5.7,1013.3,19.0,6.0
HFE,HRB,HU7745,1480307400,1480318200,1480307700.0,1480317300.0,2840.0,正常,2016-11-28,2016-11-28,2016-11-28,2016-11-28,5.0,-15.0,117,31,126,45,1283,8.2,13.5,3.0,0.0,1032.0,69.0,6.0
HRB,TAO,OQ2334,1477994700,1478002500,1477995540.0,1478001780.0,589.0,正常,2016-11-01,2016-11-01,2016-11-01,2016-11-01,14.0,-12.0,126,45,120,36,859,-5.0,-0.1,-9.8,0.0,1026.1,233.0,10.0
KMG,TYN,DR6529,1478475600,1478485800,1478478840.0,1478487240.0,70.0,正常,2016-11-06,2016-11-07,2016-11-07,2016-11-07,54.0,24.0,102,24,112,37,1182,16.9,23.0,10.8,0.0,,227.0,7.0
KWL,PEK,CZ3281,1480119000,1480128900,1480121100.0,1480129740.0,2047.0,正常,2016-11-26,2016-11-26,2016-11-26,2016-11-26,35.0,14.0,110,25,116,40,927,9.9,14.3,5.6,0.0,1025.3,17.0,9.0
SHE,TAO,JD461,1478589900,1478595300,1478594280.0,1478599440.0,1402.0,正常,2016-11-08,2016-11-08,2016-11-08,2016-11-08,73.0,69.0,123,41,120,36,442,-5.5,-0.4,-10.5,0.0,1035.4,18.0,5.0
TNA,CTU,CA4528,1479215400,1479225000,1479219900.0,1479229080.0,1827.0,正常,2016-11-15,2016-11-15,2016-11-15,2016-11-15,75.0,68.0,116,36,104,30,1352,10.8,16.4,5.1,0.0,1024.4,178.0,7.0
SHE,HGH,HU7730,1480311600,1480320900,1480312500.0,1480320960.0,1700.0,正常,2016-11-28,2016-11-28,2016-11-28,2016-11-28,15.0,1.0,123,41,120,30,719,-4.4,4.3,-13.1,0.0,1032.1,296.0,7.0
WUH,XMN,MF8276,1479990300,1479996600,1479990600.0,1479995820.0,1517.0,正常,2016-11-24,2016-11-24,2016-11-24,2016-11-24,5.0,-13.0,114,30,118,24,531,0.9,5.0,-3.1,,1029.9,1.0,3.0
HFE,SZX,CZ3566,1479902400,1479910800,1479903060.0,1479910020.0,1976.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,11.0,-13.0,117,31,113,22,612,-0.8,-0.3,-1.4,6.7,1036.4,332.0,8.0
URC,TYN,SC4612,1478231100,1478243400,1478231760.0,1478242920.0,2894.0,正常,2016-11-04,2016-11-04,2016-11-04,2016-11-04,11.0,-8.0,88,43,112,37,2667,8.9,14.9,3.0,28.3,1021.3,332.0,14.0
FOC,PVG,MU5661,1478775300,1478780700,1478776200.0,1478780160.0,842.0,正常,2016-11-10,2016-11-10,2016-11-10,2016-11-10,15.0,-9.0,119,26,121,31,355,16.4,20.1,12.6,0.0,1022.4,311.0,14.0
XMN,NKG,MF8507,1478821500,1478827800,1478822220.0,1478827320.0,2190.0,正常,2016-11-10,2016-11-11,2016-11-10,2016-11-11,12.0,-8.0,118,24,118,31,365,18.9,22.5,15.4,,1020.6,357.0,8.0
FOC,SZX,MF8367,1479283200,1479288600,1479284040.0,1479289620.0,1428.0,正常,2016-11-16,2016-11-16,2016-11-16,2016-11-16,14.0,17.0,119,26,113,22,694,20.9,22.9,18.8,0.0,1020.1,334.0,5.0
TGO,HET,CA1688,1478917200,1478923800,1478917020.0,1478923620.0,1853.0,正常,2016-11-12,2016-11-12,2016-11-12,2016-11-12,-3.0,-3.0,122,43,111,40,1231,-0.7,4.2,-5.5,,1022.0,142.0,6.0
TYN,HET,8L9985,1478687700,1478691300,1478687280.0,1478689680.0,1605.0,正常,2016-11-09,2016-11-09,2016-11-09,2016-11-09,-7.0,-27.0,112,37,111,40,165,2.9,7.9,-2.2,0.0,1026.5,180.0,9.0
HFE,TAO,MU5365,1479537300,1479542700,1479538020.0,1479542220.0,2896.0,正常,2016-11-19,2016-11-19,2016-11-19,2016-11-19,12.0,-8.0,117,31,120,36,425,16.9,17.6,16.3,0.7,1017.5,9.0,6.0
URC,NKG,CZ6971,1479961500,1479976500,1479961620.0,1479975420.0,2794.0,正常,2016-11-24,2016-11-24,2016-11-24,2016-11-24,2.0,-18.0,88,43,118,31,3331,-10.2,-5.4,-14.9,0.0,1041.2,170.0,6.0
CKG,SJW,NS3222,1479439800,1479447600,1479441240.0,1479447300.0,1635.0,正常,2016-11-18,2016-11-18,2016-11-18,2016-11-18,24.0,-5.0,106,29,114,38,950,18.8,22.9,14.6,0.0,1011.4,312.0,4.0
TYN,URC,ZH9579,1479872700,1479886500,1479875700.0,1479889200.0,2334.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,50.0,45.0,112,37,88,43,2667,-3.1,1.6,-7.9,0.0,1037.2,199.0,6.0
CTU,KMG,3U8661,1478997000,1479002700,1478997780.0,1479001380.0,1459.0,正常,2016-11-13,2016-11-13,2016-11-13,2016-11-13,13.0,-22.0,104,30,102,24,268,15.8,17.5,14.0,0.0,1017.8,321.0,2.0
HET,TYN,8L9986,1479990000,1479994200,1479990060.0,1479992460.0,1605.0,正常,2016-11-24,2016-11-24,2016-11-24,2016-11-24,1.0,-29.0,111,40,112,37,165,-9.8,-3.6,-16.1,0.0,1032.5,317.0,10.0
URC,PEK,HU7146,1479121200,1479135000,1479121140.0,1479132600.0,1479.0,正常,2016-11-14,2016-11-14,2016-11-14,2016-11-14,-1.0,-40.0,88,43,116,40,3113,-0.7,1.1,-2.4,0.0,1024.5,51.0,5.0
XMN,SHA,FM9168,1479903600,1479909900,1479904560.0,1479909000.0,1403.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,16.0,-15.0,118,24,121,31,507,17.8,19.7,15.9,,1020.4,46.0,14.0
SYX,CTU,JD5177,1479895800,1479906000,1479896760.0,1479905160.0,2819.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,16.0,-14.0,109,18,104,30,670,25.0,27.4,22.6,8.6,1012.6,76.0,15.0
URC,PEK,HU7246,1479534900,1479547500,1479538080.0,1479549480.0,1659.0,正常,2016-11-19,2016-11-19,2016-11-19,2016-11-19,53.0,33.0,88,43,116,40,3113,-11.4,-9.7,-13.1,1.1,1034.8,63.0,4.0
HGH,PEK,CA1564,1480246800,1480255200,1480248240.0,1480255320.0,2359.0,正常,2016-11-27,2016-11-27,2016-11-27,2016-11-27,24.0,2.0,120,30,116,40,684,8.9,14.2,3.7,0.0,1027.8,327.0,6.0
PEK,CTU,3U8888,1479892800,1479904200,1479897960.0,1479906720.0,415.0,正常,2016-11-23,2016-11-23,2016-11-23,2016-11-23,86.0,42.0,116,40,104,30,1382,-1.4,2.6,-5.3,0.0,1034.3,271.0,7.0
TNA,PEK,CA127X,1478301000,1478304600,1478314860.0,1478318460.0,1158.0,正常,2016-11-04,2016-11-05,2016-11-05,2016-11-05,231.0,231.0,116,36,116,40,194,17.1,22.3,11.8,0.0,1009.2,161.0,10.0
XMN,KMG,KY8216,1479725700,1479737100,1479736020.0,1479745920.0,1915.0,正常,2016-11-21,2016-11-21,2016-11-21,2016-11-21,172.0,147.0,118,24,102,24,1779,21.8,24.3,19.3,2.9,1014.5,322.0,9.0
WUH,HRB,3U8726,1479807600,1479818700,1479808020.0,1479817680.0,19.0,正常,2016-11-22,2016-11-22,2016-11-22,2016-11-22,7.0,-17.0,114,30,126,45,1564,3.9,6.7,1.0,8.8,1032.2,23.0,18.0
SJW,HGH,HU7156,1478757900,1478764800,1478763900.0,1478769540.0,709.0,正常,2016-11-10,2016-11-10,2016-11-10,2016-11-10,100.0,79.0,114,38,120,30,778,8.9,15.1,2.7,0.0,1014.1,300.0,5.0
PVG,CTU,EU6678,1479385500,1479398700,1479391500.0,1479402120.0,1250.0,正常,2016-11-17,2016-11-17,2016-11-17,2016-11-17,100.0,57.0,121,31,104,30,1890,16.8,18.5,15.0,3.7,1019.3,103.0,7.0
URC,PEK,CA1292,1478913300,1478926500,1478914260.0,1478925540.0,1858.0,正常,2016-11-12,2016-11-12,2016-11-12,2016-11-12,16.0,-16.0,88,43,116,40,3113,6.9,11.6,2.2,0.0,1019.5,343.0,10.0
PVG,CGO,CZ6430,1478184000,1478191800,1478192760.0,1478198160.0,613.0,正常,2016-11-03,2016-11-03,2016-11-03,2016-11-03,146.0,106.0,121,31,113,34,902,12.4,18.2,6.7,0.0,1023.7,90.0,4.0
SYX,CGO,CZ6319,1480131900,1480143000,1480133940.0,1480143540.0,1085.0,正常,2016-11-26,2016-11-26,2016-11-26,2016-11-26,34.0,9.0,109,18,113,34,773,23.5,27.1,19.9,0.0,1013.0,8.0,17.0
TYN,CKG,MU5528,1479645300,1479653100,1479645480.0,1479651660.0,1171.0,正常,2016-11-20,2016-11-20,2016-11-20,2016-11-20,3.0,-24.0,112,37,106,29,725,5.7,12.1,-0.7,0.0,1019.2,39.0,11.0
SJW,SHE,JD5535,1479802200,1479808500,1479805200.0,1479809760.0,2608.0,正常,2016-11-22,2016-11-22,2016-11-22,2016-11-22,50.0,21.0,114,38,123,41,1013,-1.4,0.3,-3.0,0.0,1039.2,147.0,5.0
KWL,PEK,CZ3281,1478736600,1478746500,1478736300.0,1478745600.0,1685.0,正常,2016-11-10,2016-11-10,2016-11-10,2016-11-10,-5.0,-15.0,110,25,116,40,927,11.2,13.6,8.9,0.0,1025.3,17.0,7.0
SYX,SHA,HO1130,1478682300,1478693100,1478683020.0,1478692380.0,1167.0,正常,2016-11-09,2016-11-09,2016-11-09,2016-11-09,12.0,-12.0,109,18,121,31,1460,23.4,25.2,21.7,0.0,1016.7,44.0,28.0
HRB,PVG,CZ6257,1478389200,1478400000,1478394480.0,1478403840.0,2290.0,正常,2016-11-05,2016-11-06,2016-11-06,2016-11-06,88.0,64.0,126,45,121,31,1020,-3.8,-2.0,-5.6,0.8,1026.6,322.0,11.0
